Name,Latitude,Longitude,Population
Kina,35.000074,104.999927,1439324
India,22.3511148,78.6677428,1380004
USA,39.7837304,-100.445882,331003
Indonesia,-2.4833826,117.8902853,273524
Pakistan,30.3308401,71.247499,220892
Brasil,-10.3333333,-53.2,212559
Nigeria,9.6000359,7.9999721,206140
Bangladesh,24.4769288,90.2934413,164689
Russland,64.6863136,97.7453061,145934
Mexico,23.6585116,-102.0077097,128933
Japan,36.5748441,139.2394179,126476
Etiopia,10.2116702,38.6521203,114964
Filippinene,12.7503486,122.7312101,109581
Egypt,26.2540493,29.2675469,102334
Vietnam,15.9266657,107.9650855,97339
Den demokratiske republikken Kongo,-2.9814344,23.8222636,89561
Tyrkia,38.9597594,34.9249653,84339
Iran,32.6475314,54.5643516,83993
Tyskland,51.1638175,10.4478313,83784
Thailand,14.8971921,100.83273,69800
Storbritannia,54.7023545,-3.2765753,67886
Frankrike,46.603354,1.8883335,65274
Italia,42.6384261,12.674297,60462
Tanzania,-6.5247123,35.7878438,59734
Sør-Afrika,-28.8166236,24.991639,59309
Myanmar,17.1750495,95.9999652,54410
Kenya,1.4419683,38.4313975,53771
Sør-Korea,36.638392,127.6961188,51269
Colombia,4.099917,-72.9088133,50883
Spania,39.3260685,-4.8379791,46755
Uganda,1.5333554,32.2166578,45741
Argentina,-34.9964963,-64.9672817,45196
Algerie,28.0000272,2.9999825,43851
Sudan,14.5844444,29.4917691,43849
Ukraina,49.4871968,31.2718321,43734
Irak,33.0955793,44.1749775,40222
Afghanistan,33.7680065,66.2385139,38928
Polen,52.215933,19.134422,37847
Canada,61.0666922,-107.991707,37742
Marokko,31.1728205,-7.3362482,36910
Saudi-Arabia,25.6242618,42.3528328,34814
Usbekistan,41.32373,63.9528098,33469
Peru,-6.8699697,-75.0458515,32972
Angola,-11.8775768,17.5691241,32866
Malaysia,4.5693754,102.2656823,32366
Mosambik,-19.302233,34.9144977,31255
Ghana,8.0300284,-1.0800271,31073
Jemen,16.3471243,47.8915271,29826
Nepal,28.1083929,84.0917139,29137
Venezuela,8.0018709,-66.1109318,28436
Madagaskar,-18.9249604,46.4416422,27691
Kamerun,4.6125522,13.1535811,26546
Elfenbenskysten,7.9897371,-5.5679458,26378
Nord-Korea,40.3736611,127.0870417,25779
Australia,-24.7761086,134.755,25500
Niger,17.7356214,9.3238432,24207
Taiwan,23.9739374,120.9820179,23817
Sri Lanka,7.87739585,80.6624785235589,21413
Burkina Faso,12.0753083,-1.6880314,20903
Mali,16.3700359,-2.2900239,20251
Romania,45.9852129,24.6859225,19238
Chile,-31.7613365,-71.3187697,19116
Malawi,-13.2687204,33.9301963,19130
Kasakhstan,48.1012954,66.7780818,18777
Zambia,-14.5189121,27.5589884,18384
Guatemala,15.5855545,-90.345759,17916
Ecuador,-1.3397668,-79.3666965,17643
Syria,34.6401861,39.0494106,17501
Nederland,52.2434979,5.6343227,17135
Senegal,14.4750607,-14.4529612,16744
Kambodsja,12.5433216,104.8144914,16719
Tsjad,15.6134137,19.0156172,16426
Somalia,8.3676771,49.083416,15893
Zimbabwe,-18.4554963,29.7468414,14863
Guinea,10.7226226,-10.7083587,13133
Rwanda,-1.9646631,30.0644358,12952
Tunisia,33.8439408,9.400138,11819
Sør-Sudan,7.8699431,29.6667897,11194
Cuba,23.0131338,-80.8328748,11327
Belgia,50.6402809,4.6667145,11590
Benin,9.5293472,2.2584408,12123
Hellas,38.9953683,21.9877132,10423
Bolivia,-17.0568696,-64.9912286,11673
Haiti,19.1399952,-72.3570972,11403
Burundi,-3.426449,29.9324519,11891
Den dominikanske republikk,19.0974031,-70.3028026,10848
Tsjekkia,49.7439047,15.3381061,10709
Portugal,39.6621648,-8.1353519,10197
Sverige,59.6749712,14.5208584,10099
Aserbajdsjan,40.3936294,47.7872508,10139
Ungarn,47.1817585,19.5060937,9660
Jordan,31.1667049,36.941628,10203
Belarus,53.4250605,27.6971358,9449
De forente arabiske emirater,24.0002488,53.9994829,9890
Honduras,15.2572432,-86.0755145,9905
Tadsjikistan,38.6281733,70.8156541,9538
Serbia,44.0165,21.0059,9737
Østerrike,47.59397,14.12456,9006
Sveits,46.7985624,8.2319736,8655
Israel,30.8124247,34.8594762,8656
Papua Ny-Guinea,-5.6816069,144.2489081,8947
Togo,8.7800265,1.0199765,8279
Sierra Leone,8.6400349,-11.8400269,7977
Hongkong,22.2793278,114.1628131,7497
Bulgaria,42.6073975,25.4856617,6948
Laos,20.0171109,103.378253,7276
Paraguay,-23.3165935,-58.1693445,7133
El Salvador,13.8000382,-88.9140683,6486
Libya,26.8234472,18.1236723,6871
Nicaragua,12.6090157,-85.2936911,6525
Libanon,33.8750629,35.843409,6825
Kirgisistan,41.5089324,74.724091,6524
Turkmenistan,39.3763807,59.3924609,6031
Danmark,55.670249,10.3333283,5792
Singapore,1.357107,103.8194992,5850
Finland,63.2467777,25.9209164,5541
Slovakia,48.7411522,19.4528646,5457
Norge,61.1529386,8.7876653,5421
Republikken Kongo,-2.9814344,23.8222636,5518
Eritrea,15.9500319,37.9999668,3546
Palestina,31.46242095,34.2627165721307,5101
Costa Rica,10.2735633,-84.0739102,5094
Irland,52.865196,-7.9794599,4938
Liberia,5.7499721,-9.3658524,5058
New Zealand,-41.5000831,172.8344077,4822
Den sentralafrikanske republikk,7.0323598,19.9981227,4830
Oman,21.0000287,57.0036901,5107
Mauritania,20.2540382,-9.2399263,4650
Kroatia,45.3658443,15.6575209,4105
Kuwait,29.2733964,47.4979476,4271
Panama,8.559559,-81.1308434,4315
Moldova,47.2879608,28.5670941,4034
Georgia,32.3293809,-83.1137366,3989
Puerto Rico,18.2247706,-66.4858295,2861
Bosnia-Hercegovina,44.3053476,17.5961467,3281
Uruguay,-32.8755548,-56.0201525,3474
Mongolia,46.8250388,103.8499736,3278
Armenia,40.7696272,44.6736646,2963
Albania,41.000028,19.9999619,2878
Jamaica,18.1850507,-77.3947693,2961
Litauen,55.3500003,23.7499997,2722
Qatar,25.3336984,51.2295295,2881
Namibia,-23.2335499,17.3231107,2541
Botswana,-23.1681782,24.5928742,2352
Lesotho,-29.6039267,28.3350193,2142
Gambia,13.470062,-15.4900464,2417
Nord-Makedonia,41.6171214,21.7168387,2083
Slovenia,46.1199444,14.8153333,2079
Gabon,-0.8999695,11.6899699,2226
Latvia,56.8406494,24.7537645,1886
Guinea-Bissau,11.815215,-15.2351044,1968
Kosovo,42.5869578,20.9021231,
Bahrain,26.1551249,50.5344606,1702
Gaza,31.5193148,34.4375701,
Palestina,31.5193148,34.4375701,
Trinidad og Tobago,10.7466905,-61.0840075,1399
Eswatini,-26.5624806,31.3991317,1160
Estland,58.7523778,25.3319078,1327
Øst-Timor,-8.7443169,126.063482,1318
Ekvatorial-Guinea,1.613172,10.5170357,1403
Mauritius,-20.2759451,57.5703566,1272
Kypros,34.9823018,33.1451285,1207
Djibouti,11.8145966,42.8453061,988
Fiji,-18.1239696,179.0122737,896
Réunion,,,895
Komorene,-12.2045176,44.2832964,870
Bhutan,27.549511,90.5119273,772
Guyana,4.8417097,-58.6416891,787
Montenegro,42.9868853,19.5180992,628
Macao,22.1899448,113.5380454,649
Salomonøyene,-8.7053941,159.107069385185,687
Luxembourg,49.8158683,6.1296751,626
Surinam,4.1413025,-56.0771187,587
Vest-Sahara,24.2155,12.8858,597
Kapp Verde,16.0000552,-24.0083947,556
Guadeloupe,,,400
Maldivene,3.7203503,73.2244152,541
Malta,35.8885993,14.4476911,442
Brunei,4.4137155,114.5653908,437
Bahamas,24.7736546,-78.0000547,393
Martinique,40.1170499,-82.9950014,375
Belize,16.8259793,-88.7600927,398
Island,64.9841821,-18.1059013,341
Barbados,13.1500331,-59.5250305,287
Fransk Polynesia,17.6797,149.4068,281
Fransk Guyana,3.9339,53.1258,299
Ny-Caledonia,,,285
Vanuatu,-16.5255069,168.1069154,307
Mayotte,,,273
São Tomé og Príncipe,0.9713095,7.02255,219
Samoa,-13.7693895,-172.12005,198
Saint Lucia,13.8250489,-60.975036,184
Kanaløyene,,,174
Guam,13.4501257,144.757551029721,169
Curaçao,,,164
Kiribati,0.3448612,173.6641773,119
Saint Vincent og Grenadinene,12.90447,-61.2765569,111
Tonga,-19.9160819,-175.202642,106
Grenada,12.1360374,-61.6904045,113
Mikronesiaføderasjonen,8.6062347,151.832744331612,
Aruba,,,107
Jomfruøyene,17.789187,-64.7080574,104
Antigua og Barbuda,17.2234721,-61.9554608,98
Seychellene,-4.6574977,55.4540146,98
Andorra,42.5407167,1.5732033,77
Dominica,19.0974031,-70.3028026,72
Caymanøyene,19.70318225,-79.9174627243246,66
Guernsey,57.16699685,-7.37473303988815,
Bermuda,52.5056354,-1.4789788,62
Grønland,77.6192349,-42.8125967,57
Amerikansk Samoa,-14.297124,-170.7131481,55
Saint Kitts og Nevis,17.250512,-62.6725973,53
Nord-Marianene,15.0979,145.6739,58
Marshalløyene,8.230817,167.795322370453,59
Færøyene,61.8926,6.9118,49
Saint-Martin,18.0708,63.0501,39
Monaco,43.7323492,7.4276832,39
Liechtenstein,47.1416307,9.5531527,38
Turks- og Caicosøyene,21.721746,-71.5527809,39
Gibraltar,51.791921,-0.9022301,34
San Marino,43.9458623,12.458306,34
De britiske Jomfruøyer,,,30
De nederlandske Antiller,,,26
Palau,5.3783537,132.9102573,18
Cookøyene,-19.99697155,-157.785871406208,18
Anguilla,18.1954947,-63.0750234,15
Wallis- og Futunaøyene,-13.289402,-176.204224,11
Nauru,-0.5252306,166.9324426,11
Tuvalu,-8.6405212,179.15829181818,12
Saint-Barthélemy,17.9036287,-62.8115292150199,10
Saint-Pierre og Miquelon,,,6
Montserrat,16.7417041,-62.1916844,5
St. Helena,54.4237934,-0.9465342,6
Falklandsøyene,,,3
Svalbard,,,
Niue,-19.0536414,-169.861341,2
Norfolkøya,,,
Tokelau,-9.1676396,-171.819687,1
Christmasøya,,,
Vatikanstaten,41.903411,12.4528527,
Kokosøyene(Aus.),,,
Pitcairnøyene,,,
